Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,src\AdminPanel\Club.AdminPanel.Domain\Club.AdminPanel.Domain.csproj,File,src\AdminPanel\Club.AdminPanel.Domain\Club.AdminPanel.Domain.csproj,,,,,,,,Current target framework: net10.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.EntityFrameworkCore 8.0.15,,,,,"Microsoft.EntityFrameworkCore, 8.0.15  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.EntityFrameworkCore.Relational 8.0.15,,,,,"Microsoft.EntityFrameworkCore.Relational, 8.0.15  Recommendation:  Remove Microsoft.EntityFrameworkCore.Relational, and replace with new package Microsoft.EntityFrameworkCore.Relational 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.AspNetCore.OpenApi 8.0.8,,,,,"Microsoft.AspNetCore.OpenApi, 8.0.8  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.10"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.21.0,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.21.0  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 8.0.15,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 8.0.15  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 8.0.15,,,,,"Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, 8.0.15  Recommendation:  Remove Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore, and replace with new package Microsoft.AspNetCore.Diagnostics.EntityFrameworkCore 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 8.0.15,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 8.0.15  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,Microsoft.EntityFrameworkCore.Tools 8.0.15,,,,,"Microsoft.EntityFrameworkCore.Tools, 8.0.15  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.10"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,File,src\AdminPanel\Club.AdminPanel.Web\Club.AdminPanel.Web.csproj,,,System.Drawing.Common 8.0.15,,,,,"System.Drawing.Common, 8.0.15  Recommendation:  Remove System.Drawing.Common, and replace with new package System.Drawing.Common 10.0.10"
